2019-09-16 at 9:59,,,,,,
System_Date_(Y-M-D),System_Time_(h:m:s),CO₂_(µmol_mol⁻¹),H₂O_(mmol_mol⁻¹),CO₂_Absorption,H₂O_Absorption,Flow_Rate_(L_min⁻¹)
16-09-2019,09:59:31,5.20E+02,2.55E+01,9.48E-02,1.27E-01,7.78E-01
16-09-2019,09:59:32,4.86E+02,2.55E+01,9.08E-02,1.27E-01,7.63E-01
16-09-2019,09:59:33,4.87E+02,2.55E+01,9.14E-02,1.27E-01,7.49E-01
16-09-2019,09:59:34,4.87E+02,2.55E+01,9.14E-02,1.27E-01,7.49E-01
16-09-2019,09:59:35,4.93E+02,2.55E+01,9.24E-02,1.27E-01,6.99E-01
16-09-2019,09:59:36,5.00E+02,2.55E+01,9.25E-02,1.27E-01,7.44E-01
16-09-2019,09:59:37,5.00E+02,2.55E+01,9.25E-02,1.27E-01,7.44E-01
16-09-2019,09:59:38,4.76E+02,2.55E+01,8.98E-02,1.27E-01,7.31E-01
16-09-2019,09:59:39,4.82E+02,2.55E+01,9.05E-02,1.27E-01,7.46E-01
16-09-2019,09:59:40,4.82E+02,2.55E+01,9.05E-02,1.27E-01,7.46E-01
16-09-2019,09:59:41,5.11E+02,2.55E+01,9.70E-02,1.27E-01,7.03E-01
16-09-2019,09:59:42,5.50E+02,2.56E+01,9.86E-02,1.27E-01,7.42E-01
16-09-2019,09:59:43,5.50E+02,2.56E+01,9.86E-02,1.27E-01,7.42E-01
16-09-2019,09:59:44,6.17E+02,2.58E+01,1.11E-01,1.28E-01,7.39E-01
16-09-2019,09:59:45,6.91E+02,2.61E+01,1.14E-01,1.29E-01,7.41E-01
16-09-2019,09:59:46,5.68E+02,2.59E+01,9.87E-02,1.28E-01,7.39E-01
16-09-2019,09:59:47,5.69E+02,2.59E+01,1.02E-01,1.28E-01,7.27E-01
16-09-2019,09:59:48,5.64E+02,2.58E+01,9.97E-02,1.28E-01,7.55E-01
16-09-2019,09:59:49,5.23E+02,2.59E+01,9.48E-02,1.28E-01,7.37E-01
16-09-2019,09:59:50,5.10E+02,2.59E+01,9.42E-02,1.28E-01,7.29E-01
16-09-2019,09:59:51,5.21E+02,2.58E+01,9.60E-02,1.28E-01,7.45E-01
16-09-2019,09:59:52,5.02E+02,2.58E+01,9.19E-02,1.28E-01,7.77E-01
16-09-2019,09:59:53,4.93E+02,2.58E+01,9.22E-02,1.28E-01,7.61E-01
16-09-2019,09:59:54,5.06E+02,2.58E+01,9.44E-02,1.28E-01,7.55E-01
16-09-2019,09:59:55,5.29E+02,2.58E+01,9.73E-02,1.28E-01,7.76E-01
16-09-2019,09:59:56,5.48E+02,2.58E+01,9.95E-02,1.28E-01,7.71E-01
16-09-2019,09:59:57,5.48E+02,2.58E+01,9.95E-02,1.28E-01,7.71E-01
16-09-2019,09:59:58,5.70E+02,2.58E+01,1.02E-01,1.28E-01,7.82E-01
16-09-2019,09:59:59,5.48E+02,2.58E+01,9.70E-02,1.28E-01,7.51E-01
16-09-2019,10:00:00,5.07E+02,2.57E+01,9.36E-02,1.28E-01,7.25E-01
16-09-2019,10:00:01,5.13E+02,2.57E+01,9.48E-02,1.28E-01,7.38E-01
16-09-2019,10:00:02,5.22E+02,2.57E+01,9.55E-02,1.28E-01,7.38E-01
16-09-2019,10:00:03,5.20E+02,2.57E+01,9.54E-02,1.28E-01,7.40E-01
16-09-2019,10:00:04,5.12E+02,2.57E+01,9.36E-02,1.27E-01,7.40E-01
16-09-2019,10:00:05,4.77E+02,2.55E+01,8.86E-02,1.27E-01,7.61E-01
16-09-2019,10:00:06,4.70E+02,2.55E+01,8.96E-02,1.27E-01,7.71E-01
16-09-2019,10:00:07,4.70E+02,2.55E+01,8.96E-02,1.27E-01,7.71E-01
16-09-2019,10:00:08,5.21E+02,2.56E+01,9.73E-02,1.27E-01,7.58E-01
16-09-2019,10:00:09,5.25E+02,2.56E+01,9.42E-02,1.27E-01,7.61E-01
16-09-2019,10:00:10,5.25E+02,2.56E+01,9.42E-02,1.27E-01,7.61E-01
16-09-2019,10:00:11,4.79E+02,2.55E+01,9.13E-02,1.27E-01,7.33E-01
16-09-2019,10:00:12,4.99E+02,2.55E+01,9.22E-02,1.27E-01,7.37E-01
16-09-2019,10:00:13,4.99E+02,2.55E+01,9.22E-02,1.27E-01,7.37E-01
16-09-2019,10:00:14,4.87E+02,2.55E+01,9.15E-02,1.27E-01,7.57E-01
16-09-2019,10:00:15,4.81E+02,2.55E+01,8.92E-02,1.27E-01,7.28E-01
16-09-2019,10:00:16,4.81E+02,2.55E+01,8.92E-02,1.27E-01,7.28E-01
16-09-2019,10:00:17,4.61E+02,2.55E+01,8.73E-02,1.27E-01,7.44E-01
16-09-2019,10:00:18,4.51E+02,2.55E+01,8.61E-02,1.27E-01,7.18E-01
16-09-2019,10:00:19,4.63E+02,2.55E+01,8.84E-02,1.27E-01,7.21E-01
16-09-2019,10:00:20,4.75E+02,2.55E+01,9.02E-02,1.27E-01,7.36E-01
16-09-2019,10:00:21,5.10E+02,2.55E+01,9.53E-02,1.27E-01,7.41E-01
16-09-2019,10:00:22,5.03E+02,2.55E+01,9.20E-02,1.27E-01,7.66E-01
16-09-2019,10:00:23,4.98E+02,2.55E+01,9.31E-02,1.27E-01,7.62E-01
16-09-2019,10:00:24,4.83E+02,2.55E+01,8.92E-02,1.27E-01,7.61E-01
16-09-2019,10:00:25,4.74E+02,2.55E+01,9.00E-02,1.27E-01,7.72E-01
16-09-2019,10:00:26,4.82E+02,2.55E+01,9.03E-02,1.27E-01,7.94E-01
16-09-2019,10:00:27,4.68E+02,2.55E+01,8.74E-02,1.27E-01,7.65E-01
16-09-2019,10:00:28,4.58E+02,2.54E+01,8.79E-02,1.27E-01,7.66E-01
16-09-2019,10:00:29,4.73E+02,2.54E+01,8.88E-02,1.26E-01,8.13E-01
16-09-2019,10:00:30,4.50E+02,2.53E+01,8.53E-02,1.26E-01,8.02E-01
16-09-2019,10:00:31,4.34E+02,2.52E+01,8.34E-02,1.26E-01,7.89E-01
16-09-2019,10:00:32,4.54E+02,2.52E+01,8.79E-02,1.26E-01,7.99E-01
16-09-2019,10:00:33,4.54E+02,2.52E+01,8.79E-02,1.26E-01,7.99E-01
16-09-2019,10:00:34,4.43E+02,2.52E+01,8.37E-02,1.26E-01,8.09E-01
16-09-2019,10:00:35,4.27E+02,2.52E+01,8.31E-02,1.26E-01,7.95E-01
16-09-2019,10:00:36,4.36E+02,2.52E+01,8.44E-02,1.26E-01,7.93E-01
16-09-2019,10:00:37,4.28E+02,2.53E+01,8.25E-02,1.26E-01,7.98E-01
16-09-2019,10:00:38,4.23E+02,2.52E+01,8.23E-02,1.26E-01,8.08E-01
16-09-2019,10:00:39,4.31E+02,2.52E+01,8.38E-02,1.26E-01,7.89E-01
16-09-2019,10:00:40,4.34E+02,2.53E+01,8.37E-02,1.26E-01,8.04E-01
16-09-2019,10:00:41,4.35E+02,2.53E+01,8.46E-02,1.26E-01,7.72E-01
16-09-2019,10:00:42,4.52E+02,2.53E+01,8.66E-02,1.26E-01,7.91E-01
16-09-2019,10:00:43,4.52E+02,2.53E+01,8.66E-02,1.26E-01,7.91E-01
16-09-2019,10:00:44,6.01E+02,2.57E+01,1.11E-01,1.28E-01,7.72E-01
16-09-2019,10:00:45,6.02E+02,2.57E+01,1.04E-01,1.27E-01,8.02E-01
16-09-2019,10:00:46,6.02E+02,2.57E+01,1.04E-01,1.27E-01,8.02E-01
16-09-2019,10:00:47,9.35E+02,2.61E+01,1.38E-01,1.29E-01,7.83E-01
16-09-2019,10:00:48,9.19E+02,2.61E+01,1.37E-01,1.29E-01,7.69E-01
16-09-2019,10:00:49,9.19E+02,2.61E+01,1.37E-01,1.29E-01,7.69E-01
16-09-2019,10:00:50,6.29E+02,2.59E+01,1.05E-01,1.28E-01,7.59E-01
16-09-2019,10:00:51,5.60E+02,2.57E+01,1.00E-01,1.27E-01,7.60E-01
16-09-2019,10:00:52,5.60E+02,2.57E+01,1.00E-01,1.27E-01,7.60E-01
16-09-2019,10:00:53,5.37E+02,2.56E+01,9.59E-02,1.27E-01,7.67E-01
16-09-2019,10:00:54,4.91E+02,2.55E+01,9.12E-02,1.27E-01,7.75E-01
16-09-2019,10:00:55,5.08E+02,2.55E+01,9.50E-02,1.27E-01,7.93E-01
16-09-2019,10:00:56,5.19E+02,2.55E+01,9.48E-02,1.27E-01,7.86E-01
16-09-2019,10:00:57,5.03E+02,2.54E+01,9.25E-02,1.27E-01,7.78E-01
16-09-2019,10:00:58,4.73E+02,2.53E+01,8.82E-02,1.26E-01,8.00E-01
16-09-2019,10:00:59,4.60E+02,2.53E+01,8.77E-02,1.26E-01,7.92E-01
16-09-2019,10:01:00,4.62E+02,2.53E+01,8.75E-02,1.26E-01,8.02E-01
16-09-2019,10:01:01,4.58E+02,2.54E+01,8.73E-02,1.27E-01,7.97E-01
16-09-2019,10:01:02,4.64E+02,2.54E+01,8.82E-02,1.27E-01,7.90E-01
16-09-2019,10:01:03,4.67E+02,2.54E+01,8.83E-02,1.27E-01,7.62E-01
16-09-2019,10:01:04,4.64E+02,2.53E+01,8.80E-02,1.27E-01,7.31E-01
16-09-2019,10:01:05,4.62E+02,2.53E+01,8.76E-02,1.26E-01,7.35E-01
16-09-2019,10:01:06,4.60E+02,2.53E+01,8.73E-02,1.26E-01,7.82E-01
16-09-2019,10:01:07,4.59E+02,2.53E+01,8.72E-02,1.26E-01,7.77E-01
16-09-2019,10:01:08,4.59E+02,2.53E+01,8.72E-02,1.26E-01,7.77E-01
16-09-2019,10:01:09,4.53E+02,2.53E+01,8.64E-02,1.26E-01,7.45E-01
16-09-2019,10:01:10,4.53E+02,2.53E+01,8.64E-02,1.26E-01,7.37E-01
16-09-2019,10:01:11,4.50E+02,2.53E+01,8.61E-02,1.26E-01,7.42E-01
16-09-2019,10:01:12,4.50E+02,2.53E+01,8.61E-02,1.26E-01,7.58E-01
16-09-2019,10:01:13,4.51E+02,2.53E+01,8.63E-02,1.26E-01,7.73E-01
16-09-2019,10:01:14,4.50E+02,2.53E+01,8.61E-02,1.26E-01,7.62E-01
16-09-2019,10:01:15,4.51E+02,2.53E+01,8.60E-02,1.26E-01,7.65E-01
16-09-2019,10:01:16,4.51E+02,2.53E+01,8.60E-02,1.26E-01,7.65E-01
16-09-2019,10:01:17,4.52E+02,2.53E+01,8.64E-02,1.26E-01,7.90E-01
16-09-2019,10:01:18,4.61E+02,2.53E+01,8.82E-02,1.27E-01,7.48E-01
16-09-2019,10:01:19,4.61E+02,2.53E+01,8.82E-02,1.27E-01,7.48E-01
16-09-2019,10:01:20,4.70E+02,2.54E+01,8.84E-02,1.27E-01,7.29E-01
16-09-2019,10:01:21,4.58E+02,2.53E+01,8.70E-02,1.26E-01,7.49E-01
16-09-2019,10:01:22,4.58E+02,2.53E+01,8.70E-02,1.26E-01,7.49E-01
16-09-2019,10:01:23,4.50E+02,2.53E+01,8.60E-02,1.26E-01,7.58E-01
16-09-2019,10:01:24,4.52E+02,2.53E+01,8.65E-02,1.27E-01,7.22E-01
16-09-2019,10:01:25,4.52E+02,2.53E+01,8.65E-02,1.27E-01,7.22E-01
16-09-2019,10:01:26,4.47E+02,2.53E+01,8.56E-02,1.26E-01,7.52E-01
16-09-2019,10:01:27,4.48E+02,2.53E+01,8.59E-02,1.26E-01,7.70E-01
16-09-2019,10:01:28,4.48E+02,2.53E+01,8.59E-02,1.26E-01,7.70E-01
16-09-2019,10:01:29,4.53E+02,2.54E+01,8.67E-02,1.27E-01,7.58E-01
16-09-2019,10:01:30,4.53E+02,2.53E+01,8.65E-02,1.26E-01,7.66E-01
16-09-2019,10:01:31,4.55E+02,2.54E+01,8.68E-02,1.27E-01,7.60E-01
16-09-2019,10:01:32,4.64E+02,2.54E+01,8.87E-02,1.27E-01,7.61E-01
16-09-2019,10:01:33,4.71E+02,2.54E+01,8.87E-02,1.26E-01,7.71E-01
16-09-2019,10:01:34,4.70E+02,2.53E+01,8.91E-02,1.26E-01,7.95E-01
16-09-2019,10:01:35,4.71E+02,2.54E+01,8.88E-02,1.27E-01,8.16E-01
16-09-2019,10:01:36,4.66E+02,2.53E+01,8.80E-02,1.26E-01,7.97E-01
16-09-2019,10:01:37,4.70E+02,2.53E+01,8.92E-02,1.26E-01,7.87E-01
16-09-2019,10:01:38,4.78E+02,2.53E+01,9.00E-02,1.26E-01,8.05E-01
16-09-2019,10:01:39,4.79E+02,2.53E+01,8.96E-02,1.27E-01,8.05E-01
16-09-2019,10:01:40,4.56E+02,2.52E+01,8.66E-02,1.26E-01,7.78E-01
16-09-2019,10:01:41,4.57E+02,2.52E+01,8.68E-02,1.26E-01,7.63E-01
16-09-2019,10:01:42,4.52E+02,2.51E+01,8.65E-02,1.26E-01,7.59E-01
16-09-2019,10:01:43,4.60E+02,2.52E+01,8.75E-02,1.26E-01,7.63E-01
16-09-2019,10:01:44,4.60E+02,2.52E+01,8.75E-02,1.26E-01,7.63E-01
16-09-2019,10:01:45,4.62E+02,2.52E+01,8.77E-02,1.26E-01,7.60E-01
16-09-2019,10:01:46,4.59E+02,2.52E+01,8.72E-02,1.26E-01,7.50E-01
16-09-2019,10:01:47,4.60E+02,2.52E+01,8.78E-02,1.26E-01,7.74E-01
16-09-2019,10:01:48,4.74E+02,2.52E+01,8.95E-02,1.26E-01,7.47E-01
16-09-2019,10:01:49,4.73E+02,2.53E+01,8.91E-02,1.26E-01,7.39E-01
16-09-2019,10:01:50,4.74E+02,2.53E+01,8.94E-02,1.26E-01,7.44E-01
16-09-2019,10:01:51,4.72E+02,2.52E+01,8.91E-02,1.26E-01,7.66E-01
16-09-2019,10:01:52,4.72E+02,2.52E+01,8.91E-02,1.26E-01,7.66E-01
16-09-2019,10:01:53,4.74E+02,2.52E+01,8.92E-02,1.26E-01,7.83E-01
16-09-2019,10:01:54,4.69E+02,2.52E+01,8.86E-02,1.26E-01,7.70E-01
16-09-2019,10:01:55,4.69E+02,2.52E+01,8.86E-02,1.26E-01,7.70E-01
16-09-2019,10:01:56,4.64E+02,2.52E+01,8.81E-02,1.26E-01,7.47E-01
16-09-2019,10:01:57,4.72E+02,2.52E+01,8.92E-02,1.26E-01,7.43E-01
16-09-2019,10:01:58,4.72E+02,2.52E+01,8.92E-02,1.26E-01,7.43E-01
16-09-2019,10:01:59,4.72E+02,2.52E+01,8.96E-02,1.26E-01,7.36E-01
16-09-2019,10:02:00,4.76E+02,2.52E+01,8.93E-02,1.26E-01,7.47E-01
16-09-2019,10:02:01,4.76E+02,2.52E+01,8.93E-02,1.26E-01,7.47E-01
16-09-2019,10:02:02,4.60E+02,2.52E+01,8.71E-02,1.26E-01,7.34E-01
16-09-2019,10:02:03,4.57E+02,2.51E+01,8.71E-02,1.26E-01,7.44E-01
16-09-2019,10:02:04,4.57E+02,2.51E+01,8.71E-02,1.26E-01,7.44E-01
16-09-2019,10:02:05,4.82E+02,2.52E+01,9.07E-02,1.26E-01,7.37E-01
16-09-2019,10:02:06,4.74E+02,2.52E+01,8.94E-02,1.26E-01,7.38E-01
16-09-2019,10:02:07,4.77E+02,2.52E+01,8.94E-02,1.26E-01,7.39E-01
16-09-2019,10:02:08,4.64E+02,2.52E+01,8.76E-02,1.26E-01,7.36E-01
16-09-2019,10:02:09,4.60E+02,2.51E+01,8.76E-02,1.26E-01,7.40E-01
16-09-2019,10:02:10,4.67E+02,2.52E+01,8.86E-02,1.26E-01,7.40E-01
16-09-2019,10:02:11,4.73E+02,2.52E+01,8.94E-02,1.26E-01,7.43E-01
16-09-2019,10:02:12,4.78E+02,2.52E+01,9.00E-02,1.26E-01,7.35E-01
16-09-2019,10:02:13,4.82E+02,2.52E+01,9.07E-02,1.26E-01,7.35E-01
16-09-2019,10:02:14,4.84E+02,2.52E+01,9.03E-02,1.26E-01,7.31E-01
16-09-2019,10:02:15,4.74E+02,2.52E+01,8.92E-02,1.26E-01,7.50E-01
16-09-2019,10:02:16,4.70E+02,2.52E+01,8.87E-02,1.26E-01,7.43E-01
16-09-2019,10:02:17,4.73E+02,2.52E+01,8.95E-02,1.26E-01,7.54E-01
16-09-2019,10:02:18,4.72E+02,2.51E+01,8.89E-02,1.26E-01,7.78E-01
16-09-2019,10:02:19,4.77E+02,2.52E+01,9.01E-02,1.26E-01,7.74E-01
16-09-2019,10:02:20,4.77E+02,2.52E+01,9.01E-02,1.26E-01,7.74E-01
16-09-2019,10:02:21,4.90E+02,2.52E+01,9.18E-02,1.26E-01,7.58E-01
16-09-2019,10:02:22,4.94E+02,2.52E+01,9.21E-02,1.26E-01,7.22E-01
16-09-2019,10:02:23,4.92E+02,2.52E+01,9.15E-02,1.26E-01,7.45E-01
16-09-2019,10:02:24,4.84E+02,2.52E+01,9.03E-02,1.26E-01,7.64E-01
16-09-2019,10:02:25,4.83E+02,2.53E+01,9.09E-02,1.26E-01,7.42E-01
16-09-2019,10:02:26,4.89E+02,2.53E+01,9.14E-02,1.26E-01,7.35E-01
16-09-2019,10:02:27,4.88E+02,2.52E+01,9.10E-02,1.26E-01,7.40E-01
16-09-2019,10:02:28,4.88E+02,2.52E+01,9.10E-02,1.26E-01,7.40E-01
16-09-2019,10:02:29,4.71E+02,2.52E+01,8.87E-02,1.26E-01,7.56E-01
16-09-2019,10:02:30,4.65E+02,2.51E+01,8.80E-02,1.26E-01,7.72E-01
16-09-2019,10:02:31,4.65E+02,2.51E+01,8.80E-02,1.26E-01,7.72E-01
16-09-2019,10:02:32,4.51E+02,2.51E+01,8.61E-02,1.26E-01,7.63E-01
16-09-2019,10:02:33,4.48E+02,2.50E+01,8.59E-02,1.26E-01,7.66E-01
16-09-2019,10:02:34,4.48E+02,2.50E+01,8.59E-02,1.26E-01,7.66E-01
16-09-2019,10:02:35,4.48E+02,2.51E+01,8.60E-02,1.26E-01,7.71E-01
16-09-2019,10:02:36,4.49E+02,2.51E+01,8.62E-02,1.26E-01,7.82E-01
16-09-2019,10:02:37,4.49E+02,2.51E+01,8.62E-02,1.26E-01,7.82E-01
16-09-2019,10:02:38,4.61E+02,2.53E+01,8.77E-02,1.26E-01,7.78E-01
16-09-2019,10:02:39,4.61E+02,2.53E+01,8.77E-02,1.26E-01,7.82E-01
16-09-2019,10:02:40,4.61E+02,2.53E+01,8.77E-02,1.26E-01,7.82E-01
16-09-2019,10:02:41,4.64E+02,2.54E+01,8.84E-02,1.27E-01,8.05E-01
16-09-2019,10:02:42,4.69E+02,2.54E+01,8.87E-02,1.27E-01,8.04E-01
16-09-2019,10:02:43,4.68E+02,2.54E+01,8.86E-02,1.27E-01,7.81E-01
16-09-2019,10:02:44,4.71E+02,2.55E+01,8.92E-02,1.27E-01,7.99E-01
16-09-2019,10:02:45,4.75E+02,2.55E+01,8.99E-02,1.27E-01,7.98E-01
16-09-2019,10:02:46,4.83E+02,2.56E+01,9.12E-02,1.27E-01,8.08E-01
16-09-2019,10:02:47,5.08E+02,2.57E+01,9.45E-02,1.28E-01,7.73E-01
16-09-2019,10:02:48,5.24E+02,2.57E+01,9.63E-02,1.28E-01,7.53E-01
16-09-2019,10:02:49,5.24E+02,2.58E+01,9.60E-02,1.28E-01,7.43E-01
16-09-2019,10:02:50,5.24E+02,2.57E+01,9.60E-02,1.28E-01,7.43E-01
16-09-2019,10:02:51,5.25E+02,2.57E+01,9.61E-02,1.28E-01,7.38E-01
16-09-2019,10:02:52,5.19E+02,2.57E+01,9.51E-02,1.28E-01,7.30E-01
16-09-2019,10:02:53,5.15E+02,2.56E+01,9.49E-02,1.27E-01,7.30E-01
16-09-2019,10:02:54,4.97E+02,2.54E+01,9.15E-02,1.27E-01,7.42E-01
16-09-2019,10:02:55,4.97E+02,2.54E+01,9.15E-02,1.27E-01,7.42E-01
16-09-2019,10:02:56,4.85E+02,2.53E+01,9.11E-02,1.26E-01,7.52E-01
16-09-2019,10:02:57,4.97E+02,2.53E+01,9.28E-02,1.27E-01,7.49E-01
16-09-2019,10:02:58,4.90E+02,2.53E+01,9.15E-02,1.26E-01,7.54E-01
16-09-2019,10:02:59,4.91E+02,2.53E+01,9.16E-02,1.26E-01,7.62E-01
16-09-2019,10:03:00,4.81E+02,2.53E+01,8.99E-02,1.26E-01,7.61E-01
16-09-2019,10:03:01,4.76E+02,2.52E+01,8.97E-02,1.26E-01,7.60E-01
16-09-2019,10:03:02,4.73E+02,2.52E+01,9.02E-02,1.26E-01,7.74E-01
16-09-2019,10:03:03,5.05E+02,2.53E+01,9.41E-02,1.26E-01,7.56E-01
16-09-2019,10:03:04,5.05E+02,2.53E+01,9.41E-02,1.26E-01,7.56E-01
16-09-2019,10:03:05,5.07E+02,2.53E+01,9.41E-02,1.26E-01,7.01E-01
16-09-2019,10:03:06,5.06E+02,2.53E+01,9.34E-02,1.26E-01,7.40E-01
16-09-2019,10:03:07,5.06E+02,2.53E+01,9.34E-02,1.26E-01,7.40E-01
16-09-2019,10:03:08,5.03E+02,2.53E+01,9.33E-02,1.27E-01,7.35E-01
16-09-2019,10:03:09,5.06E+02,2.53E+01,9.40E-02,1.27E-01,7.58E-01
16-09-2019,10:03:10,5.06E+02,2.53E+01,9.40E-02,1.27E-01,7.58E-01
16-09-2019,10:03:11,5.10E+02,2.54E+01,9.42E-02,1.27E-01,6.99E-01
16-09-2019,10:03:12,5.18E+02,2.53E+01,9.56E-02,1.27E-01,7.44E-01
16-09-2019,10:03:13,5.18E+02,2.53E+01,9.56E-02,1.27E-01,7.44E-01
16-09-2019,10:03:14,5.18E+02,2.54E+01,9.58E-02,1.27E-01,7.77E-01
16-09-2019,10:03:15,5.31E+02,2.54E+01,9.74E-02,1.27E-01,7.57E-01
16-09-2019,10:03:16,5.31E+02,2.54E+01,9.74E-02,1.27E-01,7.57E-01
16-09-2019,10:03:17,5.14E+02,2.54E+01,9.47E-02,1.27E-01,7.35E-01
16-09-2019,10:03:18,5.13E+02,2.54E+01,9.45E-02,1.27E-01,7.79E-01
16-09-2019,10:03:19,5.15E+02,2.54E+01,9.50E-02,1.27E-01,7.79E-01
16-09-2019,10:03:20,5.13E+02,2.54E+01,9.44E-02,1.27E-01,7.75E-01
16-09-2019,10:03:21,5.16E+02,2.54E+01,9.50E-02,1.27E-01,7.78E-01
16-09-2019,10:03:22,5.16E+02,2.54E+01,9.50E-02,1.27E-01,7.76E-01
16-09-2019,10:03:23,5.42E+02,2.54E+01,9.97E-02,1.27E-01,7.78E-01
16-09-2019,10:03:24,5.43E+02,2.55E+01,9.78E-02,1.27E-01,7.80E-01
16-09-2019,10:03:25,5.44E+02,2.55E+01,9.89E-02,1.27E-01,7.76E-01
16-09-2019,10:03:26,5.46E+02,2.55E+01,9.85E-02,1.27E-01,7.44E-01
16-09-2019,10:03:27,5.37E+02,2.55E+01,9.79E-02,1.27E-01,7.24E-01
16-09-2019,10:03:28,5.44E+02,2.55E+01,9.85E-02,1.27E-01,7.36E-01
16-09-2019,10:03:29,5.32E+02,2.54E+01,9.66E-02,1.27E-01,7.56E-01
16-09-2019,10:03:30,5.25E+02,2.54E+01,9.61E-02,1.27E-01,7.50E-01
16-09-2019,10:03:31,5.25E+02,2.54E+01,9.61E-02,1.27E-01,7.50E-01
16-09-2019,10:03:32,5.29E+02,2.54E+01,9.67E-02,1.27E-01,7.78E-01
16-09-2019,10:03:33,5.28E+02,2.54E+01,9.62E-02,1.27E-01,7.75E-01
16-09-2019,10:03:34,5.21E+02,2.54E+01,9.57E-02,1.27E-01,7.79E-01
16-09-2019,10:03:35,5.27E+02,2.54E+01,9.68E-02,1.27E-01,7.49E-01
16-09-2019,10:03:36,5.33E+02,2.54E+01,9.73E-02,1.27E-01,7.53E-01
16-09-2019,10:03:37,5.47E+02,2.54E+01,9.92E-02,1.27E-01,7.76E-01
16-09-2019,10:03:38,5.72E+02,2.56E+01,1.03E-01,1.27E-01,7.77E-01
16-09-2019,10:03:39,6.58E+02,2.56E+01,1.14E-01,1.28E-01,7.73E-01
16-09-2019,10:03:40,6.58E+02,2.56E+01,1.14E-01,1.28E-01,7.73E-01
16-09-2019,10:03:41,5.97E+02,2.56E+01,1.02E-01,1.27E-01,7.75E-01
16-09-2019,10:03:42,5.66E+02,2.56E+01,1.02E-01,1.27E-01,7.80E-01
16-09-2019,10:03:43,5.66E+02,2.56E+01,1.02E-01,1.27E-01,7.80E-01
16-09-2019,10:03:44,5.73E+02,2.56E+01,1.03E-01,1.27E-01,7.54E-01
16-09-2019,10:03:45,5.85E+02,2.56E+01,1.04E-01,1.27E-01,7.23E-01
16-09-2019,10:03:46,5.85E+02,2.56E+01,1.04E-01,1.27E-01,7.23E-01
16-09-2019,10:03:47,5.78E+02,2.56E+01,1.02E-01,1.28E-01,7.36E-01
16-09-2019,10:03:48,5.35E+02,2.55E+01,9.62E-02,1.27E-01,7.41E-01
16-09-2019,10:03:49,5.35E+02,2.55E+01,9.62E-02,1.27E-01,7.41E-01
16-09-2019,10:03:50,5.53E+02,2.55E+01,9.94E-02,1.27E-01,7.40E-01
16-09-2019,10:03:51,5.53E+02,2.55E+01,1.00E-01,1.27E-01,7.38E-01
16-09-2019,10:03:52,5.73E+02,2.56E+01,1.03E-01,1.27E-01,7.41E-01
16-09-2019,10:03:53,5.62E+02,2.55E+01,1.01E-01,1.27E-01,7.63E-01
16-09-2019,10:03:54,6.30E+02,2.56E+01,1.11E-01,1.28E-01,7.65E-01
16-09-2019,10:03:55,6.52E+02,2.56E+01,1.11E-01,1.28E-01,7.52E-01
16-09-2019,10:03:56,6.48E+02,2.56E+01,1.10E-01,1.28E-01,7.59E-01
16-09-2019,10:03:57,6.30E+02,2.56E+01,1.09E-01,1.28E-01,7.58E-01
